;Class.;Jogador;Nação;Pos.;Equipe;Idade;Nascimento;90s;CrtsA;CrtV;2CrdY;Fts;FltsP;Desativado;Crz;Crts;TklW;Pênaltis convertidos;PKcon;OG;Recuperação;GanhosAereos;PerdasAereos;Ganhos%;Goleiro;Atacante;Lateral;Zagueiro;Tipo
620;621;João Victor Santos Sá;br BRA;AT;Botafogo (RJ);28;1994;19.0;2;0;0;17;30;3;34;16;24;0.0;0.0;0;81.0;12.0;32.0;27.3;0;1;0;0;Ataque
621;622;Matheus Sales;br BRA;LTZG;Goiás;27;1995;18.1;5;0;0;23;12;0;13;13;23;0.0;1.0;0;69.0;15.0;20.0;42.9;0;0;1;1;Defesa
622;623;Philipe Sampaio;br BRA;ZG;Botafogo (RJ);27;1994;12.5;4;2;1;19;8;2;1;27;8;0.0;1.0;0;63.0;36.0;17.0;67.9;0;0;0;1;Defesa
623;624;Carlos Sánchez;uy URU;LT;Santos;37;1984;8.7;3;0;0;11;14;2;63;5;8;0.0;0.0;0;44.0;4.0;6.0;40.0;0;0;1;0;Defesa
624;625;Sandry;br BRA;LT;Santos;20;2002;6.7;2;0;0;12;5;0;20;11;12;0.0;1.0;0;45.0;1.0;3.0;25.0;0;0;1;0;Defesa
625;626;Alex Santana;br BRA;LT;Atl Paranaense;27;1995;8.5;4;0;0;14;8;1;0;11;8;0.0;0.0;0;64.0;4.0;4.0;50.0;0;0;1;0;Defesa
626;627;Santos;br BRA;G;Flamengo;32;1990;19.0;1;0;0;0;2;0;0;0;0;0.0;0.0;0;10.0;3.0;0.0;100.0;1;0;0;0;Defesa
627;628;Ademir Santos;br BRA;ATLT;Atlético Mineiro;27;1995;16.2;4;0;0;19;58;12;43;7;17;1.0;0.0;0;68.0;6.0;29.0;17.1;0;1;1;0;Ataque
628;629;Chayene Santos;br BRA;LTAT;Botafogo (RJ);32;1990;6.5;3;0;0;10;18;0;17;5;9;0.0;0.0;0;33.0;3.0;14.0;17.6;0;1;1;0;Ataque
629;630;Fábio Santos;br BRA;ZG;Corinthians;37;1985;16.4;3;0;0;12;13;0;31;18;15;0.0;0.0;0;88.0;24.0;20.0;54.5;0;0;0;1;Defesa
630;631;Gustavo Santos;br BRA;AT;Avaí;20;2002;0.2;0;0;0;1;1;0;1;0;0;;;0;;;;;0;1;0;0;Ataque
631;632;Juan Santos;br BRA;AT;São Paulo;20;2002;0.5;0;0;0;0;1;3;0;0;0;0.0;0.0;0;1.0;0.0;2.0;0.0;0;1;0;0;Ataque
632;633;Júnior Santos;br BRA;ATLT;Botafogo (RJ);28;1994;10.3;0;0;0;17;10;2;15;2;11;0.0;1.0;0;39.0;17.0;15.0;53.1;0;1;1;0;Ataque
633;634;Luis Eduardo Marques dos Santos;br BRA;ZG;Atl Goianiense;25;1997;16.5;1;0;0;11;14;2;68;25;17;0.0;0.0;0;90.0;15.0;13.0;53.6;0;0;0;1;Defesa
634;635;Matheus Santos;br BRA;LT;Goiás;24;1998;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;1.0;0.0;100.0;0;0;1;0;Defesa
635;636;Rafael Santos;br BRA;ZG;Coritiba;24;1998;10.8;1;0;0;6;7;0;64;6;7;0.0;0.0;0;51.0;13.0;8.0;61.9;0;0;0;1;Defesa
636;637;Mateus Sarará;br BRA;LT;Avaí;20;2002;4.7;2;0;0;6;10;0;1;4;3;0.0;0.0;0;24.0;7.0;5.0;58.3;0;0;1;0;Defesa
637;638;Renzo Saravia;ar ARG;ZGLT;Botafogo (RJ);29;1993;19.9;10;0;0;36;41;0;46;31;31;0.0;0.0;0;136.0;26.0;36.0;41.9;0;0;1;1;Defesa
638;639;Eduardo Sasha;br BRA;ATLT;Atlético Mineiro;30;1992;14.3;1;0;0;11;20;4;9;6;6;0.0;0.0;0;45.0;27.0;24.0;52.9;0;1;1;0;Ataque
639;640;Lucas Sasha;br BRA;LT;Fortaleza;32;1990;14.0;2;0;0;20;16;0;8;20;45;0.0;0.0;0;98.0;19.0;20.0;48.7;0;0;1;0;Defesa
640;641;Gustavo Sauer;br BRA;ATLT;Botafogo (RJ);29;1993;3.2;1;0;0;5;4;0;7;1;3;0.0;0.0;0;13.0;4.0;3.0;57.1;0;1;1;0;Ataque
641;642;Jefferson Savarino;ve VEN;AT;Atlético Mineiro;25;1996;1.0;0;0;0;0;2;0;3;0;1;0.0;0.0;0;5.0;0.0;0.0;;0;1;0;0;Ataque
642;643;Sávio;br BRA;ATLT;Atlético Mineiro;18;2004;2.4;0;0;0;3;7;0;7;3;1;0.0;0.0;0;11.0;1.0;2.0;33.3;0;1;1;0;Ataque
643;644;Savio;br BRA;ZG;Goiás;27;1995;8.9;6;1;1;7;8;0;53;6;11;0.0;0.0;0;51.0;8.0;10.0;44.4;0;0;0;1;Defesa
644;645;Gustavo Scarpa;br BRA;LTAT;Palmeiras;28;1994;27.2;3;0;0;12;70;12;329;13;10;0.0;0.0;0;130.0;20.0;27.0;42.6;0;1;1;0;Ataque
645;646;Cleiton Schwengber;br BRA;G;Bragantino;25;1997;35.0;3;0;0;2;10;0;0;0;0;0.0;2.0;1;35.0;6.0;1.0;85.7;1;0;0;0;Defesa
646;647;Shaylon;br BRA;ATLT;Atl Goianiense;25;1997;13.6;3;0;0;13;3;1;68;5;8;0.0;0.0;0;66.0;2.0;18.0;10.0;0;1;1;0;Ataque
647;648;Sidcley;br BRA;ZGLT;Cuiabá;29;1993;3.5;0;0;0;0;2;0;6;9;1;0.0;0.0;0;12.0;2.0;3.0;40.0;0;0;1;1;Defesa
648;649;Sidimar;br BRA;ZG;Goiás;30;1992;5.0;0;0;0;2;4;0;0;8;4;0.0;0.0;0;11.0;20.0;6.0;76.9;0;0;0;1;Defesa
649;650;Sidnei;br BRA;ZG;Goiás;33;1989;3.3;1;0;0;1;2;0;0;7;3;0.0;0.0;0;16.0;5.0;5.0;50.0;0;0;0;1;Defesa
650;651;Pablo Siles;uy URU;LT;Atl Paranaense;25;1997;1.8;2;0;0;7;2;0;2;3;1;0.0;1.0;0;14.0;2.0;2.0;50.0;0;0;1;0;Defesa
651;652;Aderlan Silva;br BRA;ZG;Bragantino;32;1990;28.7;9;0;0;76;16;5;153;45;58;0.0;0.0;0;163.0;51.0;35.0;59.3;0;0;0;1;Defesa
652;653;Bruno Silva;br BRA;LT;Avaí;36;1986;28.2;14;1;1;74;37;1;14;30;50;0.0;0.0;0;181.0;47.0;39.0;54.7;0;0;1;0;Defesa
653;654;Da Silva;br BRA;ZG;Goiás;21;2001;6.3;3;0;0;4;1;0;0;7;3;0.0;0.0;0;16.0;20.0;7.0;74.1;0;0;0;1;Defesa
654;655;Cristiano da Silva Leite;br BRA;ZG;Fluminense;29;1993;8.3;1;0;0;10;12;0;48;10;8;0.0;0.0;0;50.0;8.0;10.0;44.4;0;0;0;1;Defesa
655;656;Felipe Silva Lipe;br BRA;ZG;Avaí;20;2002;1.0;0;0;0;0;0;0;0;6;1;0.0;0.0;0;2.0;1.0;1.0;50.0;0;0;0;1;Defesa
656;657;Lucas Silva;br BRA;ATLT;Avaí;24;1998;1.0;0;0;0;1;3;0;3;2;0;0.0;0.0;0;5.0;0.0;0.0;;0;1;1;0;Ataque
657;658;Marcão Silva;br BRA;LTZG;Cuiabá;31;1991;14.1;1;0;0;25;6;0;1;11;16;0.0;0.0;0;76.0;34.0;19.0;64.2;0;0;1;1;Defesa
658;659;Márcio Silva;br BRA;ZG;Coritiba;21;2001;2.0;0;0;0;0;3;0;0;1;1;0.0;0.0;0;3.0;3.0;2.0;60.0;0;0;0;1;Defesa
659;660;Nathan Silva;br BRA;ZG;Atlético Mineiro;25;1997;19.0;8;0;0;35;7;0;2;29;14;0.0;1.0;0;109.0;55.0;36.0;60.4;0;0;0;1;Defesa
660;661;Ricardo Silva;br BRA;ZG;América (MG);30;1992;8.3;1;0;0;15;7;0;0;7;6;0.0;1.0;0;43.0;31.0;22.0;58.5;0;0;0;1;Defesa
661;662;Miguel Silveira;br BRA;LTAT;Bragantino;19;2003;5.8;1;0;0;8;14;0;30;1;6;1.0;0.0;0;26.0;3.0;3.0;50.0;0;1;1;0;Ataque
662;663;Jailson Siqueira;br BRA;LT;Palmeiras;27;1995;0.2;0;0;0;0;0;0;3;0;0;0.0;0.0;0;0.0;2.0;3.0;40.0;0;0;1;0;Defesa
663;664;Everton Soares;br BRA;ATLT;Flamengo;26;1996;13.7;0;1;0;11;16;0;43;5;11;0.0;0.0;0;58.0;9.0;18.0;33.3;0;1;1;0;Ataque
664;665;Tiquinho Soares;br BRA;AT;Botafogo (RJ);31;1991;11.7;1;0;0;19;34;9;6;2;2;0.0;0.0;0;36.0;36.0;46.0;43.9;0;1;0;0;Ataque
665;666;Fernando Sobral;br BRA;LT;Ceará;27;1994;10.2;2;0;0;14;15;0;6;4;21;0.0;0.0;0;58.0;15.0;11.0;57.7;0;0;1;0;Defesa
666;667;Yeferson Soteldo;ve VEN;ATLT;Santos;25;1997;6.3;1;0;0;4;13;1;38;1;0;0.0;0.0;0;20.0;3.0;3.0;50.0;0;1;1;0;Ataque
667;668;Yan Souto;br BRA;ZG;Goiás;21;2001;6.8;3;0;0;13;2;0;1;10;4;0.0;3.0;0;37.0;15.0;10.0;60.0;0;0;0;1;Defesa
668;669;Hugo Souza;br BRA;G;Flamengo;23;1999;13.0;3;0;0;0;1;0;0;1;1;0.0;0.0;0;17.0;5.0;1.0;83.3;1;0;0;0;Defesa
669;670;Igor Vinícius de Souza;br BRA;ZGAT;São Paulo;25;1997;12.9;2;0;0;16;11;0;57;12;24;0.0;0.0;0;58.0;14.0;9.0;60.9;0;1;0;1;Ataque
670;671;Bruno Tabata;br BRA;AT;Palmeiras;25;1997;4.4;0;0;0;6;6;0;14;1;4;;;0;;;;;0;1;0;0;Ataque
671;672;Tadeu;br BRA;G;Goiás;30;1992;36.0;0;0;0;0;13;0;0;2;0;0.0;0.0;0;21.0;18.0;2.0;90.0;1;0;0;0;Defesa
672;673;Tailson;br BRA;LT;Santos;23;1999;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;1.0;0.0;0;0;1;0;Defesa
673;674;Taison;br BRA;LTAT;Internacional;34;1988;7.3;6;0;0;7;24;3;13;5;6;0.0;0.0;0;33.0;1.0;8.0;11.1;0;1;1;0;Ataque
674;675;Tchê Tchê;br BRA;LT;Botafogo (RJ);30;1992;23.7;3;0;0;37;40;0;6;26;16;1.0;0.0;0;119.0;7.0;16.0;30.4;0;0;1;0;Defesa
675;676;David Terans;uy URU;LT;Atl Paranaense;28;1994;20.4;3;0;0;21;19;5;92;5;9;0.0;0.0;0;94.0;5.0;27.0;15.6;0;0;1;0;Defesa
676;677;Miguel Terceros;bo BOL;AT;Santos;18;2004;0.3;0;0;0;0;0;0;2;0;1;0.0;0.0;0;1.0;0.0;0.0;;0;1;0;0;Ataque
677;678;Thiago;br BRA;G;São Paulo;23;1999;2.7;1;0;0;1;0;0;0;0;0;0.0;1.0;0;0.0;3.0;0.0;100.0;1;0;0;0;Defesa
678;679;Guilherme Tinga;br BRA;ZG;Fortaleza;29;1993;11.4;3;0;0;13;7;1;26;15;16;0.0;0.0;0;79.0;44.0;26.0;62.9;0;0;0;1;Defesa
679;680;Titi;br BRA;ZG;Fortaleza;34;1988;29.1;2;0;0;48;26;2;2;40;18;0.0;0.0;0;154.0;30.0;23.0;56.6;0;0;0;1;Defesa
680;681;Igor Torres;br BRA;ATLT;Fortaleza;22;2000;0.1;1;0;0;2;1;0;1;0;0;0.0;0.0;0;1.0;0.0;0.0;;0;1;1;0;Ataque
681;682;Jesús Trindade;uy URU;LT;Coritiba;29;1993;12.7;2;0;0;11;7;0;33;7;14;0.0;0.0;0;94.0;10.0;9.0;52.6;0;0;1;0;Defesa
682;683;Bruno Tubarão;br BRA;ATLT;Bragantino;27;1995;5.0;0;0;0;5;3;1;26;6;3;0.0;0.0;0;16.0;12.0;11.0;52.2;0;1;1;0;Ataque
683;684;Uendel;br BRA;ZG;Cuiabá;34;1988;14.7;0;0;0;9;7;0;49;10;8;0.0;0.0;0;68.0;21.0;13.0;61.8;0;0;0;1;Defesa
684;685;Valdemir;br BRA;LT;Coritiba;25;1997;6.9;6;0;0;15;11;0;12;9;12;0.0;0.0;0;38.0;7.0;6.0;53.8;0;0;1;0;Defesa
685;686;Valdívia;br BRA;LTAT;Cuiabá;28;1994;15.4;4;1;0;17;26;2;63;8;10;0.0;0.0;0;56.0;16.0;32.0;33.3;0;1;1;0;Ataque
686;687;Vanderlan;br BRA;ZG;Palmeiras;20;2002;5.2;0;0;0;12;7;0;18;13;7;0.0;0.0;0;22.0;3.0;5.0;37.5;0;0;0;1;Defesa
687;688;Guillermo Varela;uy URU;ZG;Flamengo;29;1993;2.6;0;0;0;0;6;0;5;4;3;0.0;0.0;0;10.0;1.0;5.0;16.7;0;0;0;1;Defesa
688;689;Eduardo Vargas;cl CHI;ATLT;Atlético Mineiro;32;1989;10.8;1;0;0;12;14;5;5;4;4;0.0;0.0;0;50.0;14.0;18.0;43.8;0;1;1;0;Ataque
689;690;Matheus de Vargas;br BRA;LT;Fortaleza;26;1996;4.6;2;0;0;12;11;3;5;3;2;0.0;0.0;0;20.0;8.0;12.0;40.0;0;0;1;0;Defesa
690;691;Jhon Vasquez;co COL;ATLT;Ceará;27;1995;4.6;2;0;0;9;11;4;18;1;5;0.0;0.0;0;14.0;7.0;9.0;43.8;0;1;1;0;Ataque
691;692;Rafael Vaz;br BRA;ZG;Avaí;34;1988;15.5;2;0;0;8;6;0;8;12;9;0.0;1.0;0;65.0;32.0;18.0;64.0;0;0;0;1;Defesa
692;693;Raphael Veiga;br BRA;LT;Palmeiras;27;1995;14.0;1;0;0;18;33;4;42;3;10;0.0;0.0;0;47.0;7.0;9.0;43.8;0;0;1;0;Defesa
693;694;Emiliano Velázquez;uy URU;ZG;Santos;28;1994;6.0;0;0;0;3;2;0;1;14;9;0.0;1.0;0;28.0;10.0;12.0;45.5;0;0;0;1;Defesa
694;695;Fausto Vera;ar ARG;LT;Corinthians;22;2000;13.0;4;0;0;15;12;0;4;16;21;0.0;0.0;0;113.0;13.0;14.0;48.1;0;0;1;0;Defesa
695;696;Gabriel Veron;br BRA;ATLT;Palmeiras;20;2002;6.3;0;0;0;4;6;0;6;6;8;1.0;0.0;0;29.0;3.0;9.0;25.0;0;1;1;0;Ataque
696;697;João Vialle;br BRA;ZG;Atl Paranaense;20;2002;0.3;0;0;0;0;0;0;0;0;0;0.0;0.0;0;2.0;0.0;0.0;;0;0;0;1;Defesa
697;698;João Victor;br BRA;LT;Ceará;18;2004;0.2;0;0;0;1;1;0;0;0;0;0.0;0.0;0;1.0;0.0;1.0;0.0;0;0;1;0;Defesa
698;699;João Victor;br BRA;ZG;Corinthians;24;1998;5.4;2;0;0;7;5;0;0;11;2;0.0;0.0;0;22.0;15.0;7.0;68.2;0;0;0;1;Defesa
699;700;Marcos Victor;br BRA;ZG;Ceará;20;2001;3.3;1;0;0;1;4;0;0;8;3;0.0;0.0;0;18.0;3.0;2.0;60.0;0;0;0;1;Defesa
700;701;Arturo Vidal;cl CHI;LT;Flamengo;35;1987;8.4;2;0;0;18;10;0;12;20;14;0.0;1.0;0;54.0;11.0;9.0;55.0;0;0;1;0;Defesa
701;702;Caio Vidal;br BRA;ATLT;Internacional;22;2000;1.7;1;0;0;7;9;1;1;3;2;0.0;0.0;0;5.0;1.0;5.0;16.7;0;1;1;0;Ataque
702;703;Elvis Vieira Araújo;br BRA;LTAT;Goiás;32;1990;9.4;4;0;0;13;14;0;71;6;4;0.0;0.0;0;62.0;6.0;3.0;66.7;0;1;1;0;Ataque
703;704;Gabriel Vieira;br BRA;AT;Palmeiras;20;2002;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;1.0;0.0;0;1;0;0;Ataque
704;705;Luan Vieira;br BRA;LTAT;Santos;29;1993;4.0;0;0;0;3;11;0;15;0;4;0.0;0.0;0;19.0;1.0;8.0;11.1;0;1;1;0;Ataque
705;706;Marcos Vinicios Sorriso;br BRA;AT;Bragantino;21;2001;14.5;3;0;0;19;29;1;61;8;15;0.0;0.0;0;73.0;19.0;44.0;30.2;0;1;0;0;Ataque
706;707;Vinícius;br BRA;ATLT;Ceará;31;1991;25.7;9;2;2;11;40;6;156;23;3;1.0;0.0;0;126.0;10.0;15.0;40.0;0;1;1;0;Ataque
707;708;Vinicius;br BRA;LTZG;Santos;23;1999;0.6;0;0;0;2;1;0;2;1;0;0.0;0.0;0;2.0;2.0;0.0;100.0;0;0;1;1;Defesa
708;709;Vinícius;br BRA;LTAT;Goiás;29;1993;20.7;1;0;0;18;17;6;57;13;14;0.0;0.0;0;78.0;16.0;17.0;48.5;0;1;1;0;Ataque
709;710;Vinícius;br BRA;AT;Botafogo (RJ);23;1999;9.7;3;0;0;19;26;3;10;11;10;0.0;0.0;0;45.0;14.0;20.0;41.2;0;1;0;0;Ataque
710;711;Vinicius;br BRA;LT;Cuiabá;23;1999;0.1;0;0;0;1;0;0;0;1;0;0.0;0.0;0;3.0;0.0;1.0;0.0;0;0;1;0;Defesa
711;712;Caio Vinícius;br BRA;LT;Goiás;23;1999;17.3;7;1;0;43;27;2;4;30;23;0.0;1.0;0;86.0;24.0;27.0;47.1;0;0;1;0;Defesa
712;713;Mateus Vital;br BRA;ATLT;Corinthians;24;1998;7.4;0;0;0;8;13;2;16;7;12;0.0;0.0;0;48.0;6.0;13.0;31.6;0;1;1;0;Ataque
713;714;Vitão;br BRA;ZG;Internacional;22;2000;30.0;1;0;0;14;4;0;0;18;14;0.0;0.0;0;73.0;54.0;43.0;55.7;0;0;0;1;Defesa
714;715;Vitinho;br BRA;AT;Atl Paranaense;23;1999;14.5;3;1;1;21;23;5;19;5;11;0.0;0.0;0;69.0;15.0;36.0;29.4;0;1;0;0;Ataque
715;716;Vitinho;br BRA;ATLT;Flamengo;29;1993;5.3;1;0;0;13;6;0;8;1;6;0.0;0.0;0;21.0;10.0;10.0;50.0;0;1;1;0;Ataque
716;717;Vitinho;br BRA;LTAT;Avaí;21;2000;2.0;1;0;0;4;9;0;0;0;1;0.0;0.0;0;6.0;4.0;3.0;57.1;0;1;1;0;Ataque
717;718;João Vitor;br BRA;LT;Coritiba;22;2000;0.1;0;0;0;0;1;0;0;0;0;0.0;0.0;0;1.0;0.0;0.0;;0;0;1;0;Defesa
718;719;Vladimir;br BRA;G;Avaí;33;1989;21.5;3;0;0;1;3;0;0;0;0;0.0;1.0;0;24.0;4.0;1.0;80.0;1;0;0;0;Defesa
719;720;Max Walef;br BRA;G;Fortaleza;29;1993;5.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;7.0;0.0;0.0;;1;0;0;0;Defesa
720;721;Walter;br BRA;G;Cuiabá;34;1987;25.4;0;0;0;0;3;0;0;1;2;0.0;0.0;0;16.0;8.0;0.0;100.0;1;0;0;0;Defesa
721;722;Wanderson;br BRA;ZG;Atl Goianiense;31;1991;25.5;2;0;0;19;6;1;0;21;9;0.0;0.0;0;67.0;67.0;35.0;65.7;0;0;0;1;Defesa
722;723;Wanderson;br BRA;ATLT;Internacional;28;1994;16.8;3;0;0;18;17;3;56;3;7;0.0;0.0;0;56.0;4.0;16.0;20.0;0;1;1;0;Ataque
723;724;Warley;br BRA;ATZG;Coritiba;23;1999;6.0;1;2;0;9;10;0;15;8;4;0.0;0.0;0;40.0;4.0;5.0;44.4;0;1;0;1;Ataque
724;725;Welington;br BRA;ZGAT;São Paulo;21;2001;17.7;5;1;1;18;29;1;123;15;22;0.0;0.0;0;86.0;16.0;17.0;48.5;0;1;0;1;Ataque
725;726;José Welison;br BRA;LT;Fortaleza;27;1995;17.1;4;0;0;35;15;0;22;37;20;0.0;0.0;0;131.0;33.0;24.0;57.9;0;0;1;0;Defesa
726;727;Weliton;cl CHI;LT;Juventude;17;2005;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;1.0;0.0;0;0;1;0;Defesa
727;728;Wellington;br BRA;ZG;Avaí;27;1995;1.0;0;0;0;1;0;0;0;0;0;0.0;1.0;0;4.0;1.0;1.0;50.0;0;0;0;1;Defesa
728;729;Welliton;br BRA;ATLT;Bragantino;22;2000;0.9;0;0;0;0;0;0;8;0;3;0.0;0.0;0;6.0;1.0;2.0;33.3;0;1;1;0;Ataque
729;730;Werik;br BRA;AT;Bragantino;21;2001;5.2;3;0;0;9;5;1;2;0;2;0.0;0.0;0;12.0;10.0;11.0;47.6;0;1;0;0;Ataque
730;731;Werton;br BRA;AT;Flamengo;19;2003;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;1.0;0.0;2.0;0.0;0;1;0;0;Ataque
731;732;Wescley;br BRA;LT;Ceará;31;1991;0.8;0;0;0;1;1;0;3;0;2;0.0;0.0;0;4.0;0.0;1.0;0.0;0;0;1;0;Defesa
732;733;Wesley;br BRA;AT;Palmeiras;23;1999;7.2;2;0;0;8;20;2;30;3;6;0.0;0.0;0;50.0;14.0;9.0;60.9;0;1;0;0;Ataque
733;734;Weverson;br BRA;LT;Bragantino;22;2000;0.5;0;0;0;0;0;0;3;0;0;0.0;0.0;0;4.0;1.0;5.0;16.7;0;0;1;0;Defesa
734;735;Weverton;br BRA;ZG;Internacional;23;1999;0.5;0;0;0;0;1;0;3;0;0;0.0;0.0;0;4.0;0.0;1.0;0.0;0;0;0;1;Defesa
735;736;Wéverton;br BRA;G;Palmeiras;34;1987;33.0;0;0;0;0;5;0;0;1;1;0.0;0.0;0;29.0;9.0;2.0;81.8;1;0;0;0;Defesa
736;737;Rafael William;br BRA;G;Coritiba;21;2001;6.0;1;0;0;1;0;0;0;0;0;0.0;1.0;0;3.0;1.0;0.0;100.0;1;0;0;0;Defesa
737;738;Willian;br BRA;ATLT;Fluminense;35;1986;5.3;2;0;0;8;3;2;8;8;5;0.0;0.0;0;26.0;3.0;8.0;27.3;0;1;1;0;Ataque
738;739;Willian;br BRA;AT;Corinthians;34;1988;9.2;1;0;0;6;30;2;33;8;10;0.0;0.0;0;42.0;5.0;3.0;62.5;0;1;0;0;Ataque
739;740;Xavier;br BRA;LT;Corinthians;22;2000;1.8;1;0;0;2;0;0;0;2;1;0.0;0.0;0;13.0;2.0;2.0;50.0;0;0;1;0;Defesa
740;741;Samuel Xavier;br BRA;ZG;Fluminense;32;1990;29.4;4;0;0;25;47;2;71;24;15;0.0;0.0;0;112.0;24.0;26.0;48.0;0;0;0;1;Defesa
741;742;Yago;br BRA;LTZG;Fluminense;27;1995;11.4;2;0;0;11;30;2;30;11;12;0.0;0.0;0;50.0;8.0;17.0;32.0;0;0;1;1;Defesa
742;743;Ytalo;br BRA;AT;Bragantino;34;1988;6.9;0;0;0;2;6;0;2;3;3;0.0;0.0;0;10.0;7.0;14.0;33.3;0;1;0;0;Ataque
743;744;Vinícius Zanocelo;br BRA;LT;Santos;21;2001;22.3;8;0;0;47;12;2;2;24;17;0.0;2.0;0;112.0;31.0;32.0;49.2;0;0;1;0;Defesa
744;745;Federico Zaracho;ar ARG;LTAT;Atlético Mineiro;24;1998;19.1;2;0;0;30;25;1;16;21;27;0.0;0.0;0;107.0;23.0;45.0;33.8;0;1;1;0;Ataque
